title,steamAppID,releaseDate,normalPrice,metacriticScore,steamRatingText,steamRatingPercent,developers,publishers
Dangerous Waters,1600,2005-02-22,14.99,82,Mostly Positive,79,Sonalysts,Strategy First
The Town Of Light,433100,2016-02-26,18.99,64,Mostly Positive,79,LKA,Wired Productions
Nosferatu: The Wrath of Malachi,283290,2003-10-19,2.99,70,Very Positive,90,Idol FX,Funbox Media Ltd
ADR1FT,300060,2016-03-28,19.99,64,Mixed,57,THREE ONE ZERO,505 Games
Ash of Gods: Redemption,691690,2018-03-23,24.99,65,Mostly Positive,73,AurumDust,WhisperGames
Death Road to Canada,252610,2016-07-21,14.99,73,Very Positive,93,Rocketcat Games,Rocketcat Games
Ancient Enemy,993790,2020-04-09,14.99,73,Very Positive,91,Grey Alien Games,Grey Alien Games
Disciples II: Rise of the Elves,1630,2003-11-25,5.99,80,Very Positive,86,Strategy First,Strategy First
Puzzle Agent,31270,2010-06-30,4.99,70,Very Positive,88,Telltale,Telltale
Eagle Flight,408250,2016-10-13,19.99,74,Mixed,59,Ubisoft Montreal Studio,Ubisoft
The Binding of Isaac,113200,2011-09-28,4.99,84,Overwhelmingly Positive,95,Edmund McMillen,Edmund McMillen
Grow Up,426790,2016-08-16,9.99,71,Very Positive,91,"Reflections, a Ubisoft Studio",Ubisoft
Amnesia: A Machine For Pigs,239200,2013-09-10,19.99,72,Mixed,68,The Chinese Room,Frictional Games
Tails of Iron,1283410,2021-09-17,24.99,81,Very Positive,89,Odd Bug Studio,CI Games
Sniper: Ghost Warrior,34830,2010-06-24,7.99,55,Mixed,57,City Interactive,CI Games
112 Operator,793460,2020-04-23,24.99,73,Very Positive,88,Jutsu Games,Games Operators
Kero Blaster,292500,2014-05-11,9.99,82,Very Positive,94,Studio Pixel,PLAYISM
RAD,722560,2019-08-19,19.99,71,Mostly Positive,77,Double Fine Productions,BANDAI NAMCO Entertainment America Inc.
Patron,1538570,2021-08-10,19.99,71,Mostly Positive,74,Overseer Games,Overseer Games
Book of Demons,449960,2018-12-13,24.99,72,Very Positive,91,Thing Trunk,Thing Trunk
Eidolon,286140,2014-08-01,15.0,64,Mostly Positive,71,Badru,Ice Water Games
Neverending Nightmares,253330,2014-09-26,14.99,68,Mostly Positive,76,Infinitap Games,Infinitap Games
Sniper Ghost Warrior 2,34870,2013-03-11,9.99,52,Mostly Positive,74,City Interactive,CI Games
Beat Cop,461950,2017-03-30,14.99,71,Very Positive,83,Pixel Crow,11 bit studios
Avernum 2: Crystal Souls,337850,2015-01-14,19.99,78,Very Positive,93,Spiderweb Software,Spiderweb Software
Unbound: Worlds Apart,814680,2021-07-28,19.99,78,Very Positive,83,Alien Pixel Studios,Alien Pixel Studios
911 Operator,503560,2017-02-24,14.99,68,Very Positive,89,Jutsu Games,Games Operators
West of Dead,1016790,2020-06-18,19.99,69,Mostly Positive,78,Upstream Arcade,Raw Fury
Puzzle Agent 2,94590,2011-06-30,4.99,63,Very Positive,87,Telltale,Telltale
Duke Nukem Forever,57900,2011-06-13,19.99,54,Mixed,69,Gearbox Software,2K
Killing Floor: Incursion,690810,2017-08-16,19.99,68,Mixed,55,Tripwire Interactive,Tripwire Interactive
